Title,Ease_Score,Download_Count,Index
"Il nipotismo di Roma, or, The History of the Popes Nephews
from the time of Sixtus IV. to the death of the last Pope, Alexander VII",43.2,106,54001
The New Physics and Its Evolution,42.9,122,15207
"The Korea Review, Vol. 5 No. 5, May 1905",65,60,58243
Falk: A Reminiscence,79.7,174,493
The ghost of Lancelot Biggs,85.5,136,74024
The Boy's Book of Indians and the Wild West,65.5,66,64372
Terrorists and Freedom Fighters,52.9,305,4780
"The Girl's Own Paper, Vol. XX, No. 1018, July 1, 1899",78.8,47,66102
Bert Wilson's Twin Cylinder Racer,78.8,61,40254
The Loom of the Desert,78.3,51,67347
The gift of friendship,62.3,238,57837
"Punch, or the London Charivari, Vol. 93, Nov. 12, 1887",72,59,39315
Paul Patoff,78.3,79,22879
"Little Visits with Great Americans, Vol. 1 (of 2)
Or Success, Ideals and How to Attain Them",69.7,83,48174
Free Russia,74.8,58,51117
"Punch, or the London Charivari, Volume 156, May 28, 1919",69.5,85,12232
"Chambers's Edinburgh Journal, No. 419
Volume 17, New Series, January 10, 1852",57.7,49,14502
Beowulf: An Introduction to the Study of the Poem with a Discussion of the Stories of Offa and Finn,71.2,311,34117
Hidden Hand,79.5,178,29866
Egypt (La Mort de Philae),60.3,125,3685
"The History of Don Quixote, Volume 2, Part 23",54.8,68,5926
The Little Mother Goose,86.1,458,20511
"Ireland under the Tudors, with a Succinct Account of the Earlier History. Vol. 3 (of 3)",69.4,130,52713
The History of the Maritime Wars of the Turks. Chapters I. to IV.,63.1,56,53813
Index of the Project Gutenberg Works of Herbert Spencer,54.7,122,59393
Names: and Their Meaning; A Book for the Curious,57.7,183,52930
Acid Rain and Our Nation's Capital: A Guide to Effects on Buildings and Monuments,52.1,107,57972
"Mary, Help of Christians, and the Fourteen Saints Invoked as Holy Helpers
Instructions, Novenas and Prayers with Thoughts of the Saints for Every Day in the Year; To Which is Added an Appendix on the Reasonableness of Catholic Ceremonies and Practices",69.3,171,33596
Socialism Exposed,58.4,52,62506
The Book of Elves and Fairies for Story-Telling and Reading Aloud and for the Children's Own Reading,87.8,201,56914
The History of the European Fauna,58.5,68,33236
"Harper's Young People, January 17, 1882
An Illustrated Weekly",79,50,52553
The Mystery of the Hidden Room,81.1,112,41151
Little Tales of The Desert,77.6,87,30686
"Church Reform
The Only Means to That End, Stated in a Letter to Sir Robert Peel, Bart., First Lord of the Treasury",59.1,85,40211
Wakeman's handbook of Irish antiquities : $b Third Edition,67.2,122,70000
Invention: The Master-key to Progress,50.3,91,43965
The Spirit of Sweetwater,82.3,91,20695
Caricature and Other Comic Art in All Times and Many Lands.,67.9,112,39347
Gala-Days,67.3,131,2385
Contribution to Passamaquoddy Folk-Lore,78.6,94,17997
Phantom Duel,72.8,66,67392
Liberalism,54.8,337,28278
World Without Glamor,85.9,60,64965
Memoirs of Carwin the Biloquist (A Fragment),58.9,191,842
The Dover Road: Annals of an Ancient Turnpike,57,120,36589
"Three Expeditions into the Interior of Eastern Australia, Volume 1
With Descriptions of the Recently Explored Region of Australia Felix, and of the Present Colony of New South Wales",65.9,176,12928
Two way destiny,81.7,186,74288
Speciation in the Brazilian Spiny Rats,53.6,46,42720
Mother Carey's Chickens,77.2,115,10540
Victorian Short Stories: Stories of Successful Marriages,78.7,125,15252
"Mr. Rabbit's Wedding
Hollow Tree Stories",85.5,80,28193
Claimants to Royalty,45.7,85,35710
"Alhalla, or the Lord of Talladega: A Tale of the Creek War.
With Some Selected Miscellanies, Chiefly of Early Date.",66.4,60,56368
Against the Tide,76,65,67269
Terry's Texas Rangers,71,63,48103
"Tales from ""Blackwood,"" Volume 9",66.3,55,35867
Second Book of Verse,79.3,74,31874
"Punch, or the London Charivari, Volume 152, January 3, 1917",70.8,60,13903
Sea-Power and Other Studies,54.9,49,10694
All Roads Lead to Calvary,84,70,2231
A Selection of Cartoons from Puck,60.1,245,59604
The Euahlayi Tribe: A Study of Aboriginal Life in Australia,75,126,3819
Cities in the air,66.3,115,74171
"The Magic Ring and Other Stories
From the Yellow and Crimson Fairy Books",84,143,48032
Tattle-tales of Cupid,84.5,63,71597
France,58.1,63,35678
A Tract for the Times: The Church and the Census,77.2,49,64877
"History of the United States of America, Volume 3 (of 9) : $b During the second administration of Thomas Jefferson",54.1,91,72667
Diary of Samuel Pepys — Volume 24: September/October 1663,74.2,44,4143
"Wild Life at the Land's End
Observations of the Habits and Haunts of the Fox, Badger, Otter, Seal, Hare and of Their Pursuers in Cornwall",73.4,105,57906
Folk-lore and Legends: German,76.3,159,27499
"The Popular Science Monthly, August, 1900
Vol. 57, May, 1900 to October, 1900",54.8,55,47261
"Life of Napoleon Bonaparte, Volume II.",51.2,201,48838
"Address to the People of the United States, together with the Proceedings and Resolutions of the Pro-Slavery Convention of Missouri, Held at Lexington, July 1855",45.2,72,40698
Adenoids and Diseased Tonsils: Their Effect on General Intelligence,70.9,94,38676
"History of the Forty-second regiment infantry, Massachusetts volunteers, 1862, 1863, 1864",58.1,81,52079
On the Lightship,71.8,51,40648
"Punch, or the London Charivari, Vol. 108, June 1, 1895",75.8,48,42485
Time and Time Again,75.8,176,18831
"A Dangerous Flirtation; Or, Did Ida May Sin?",82.7,89,53676
Jacqueline — Volume 1,78.2,67,3968
"Great captains : $b A course of six lectures showing the influence on the art of war of the campaigns of Alexander, Hannibal, Cæsar, Gustavus Adolphus, Frederick, and Napoleon",69.7,133,71713
The Adventures of Samuel and Selina,85.3,54,24611
"The Bible, Douay-Rheims, Book 24: Canticle of Canticles
The Challoner Revision",86.4,43,8324
"The Little London Directory of 1677
The oldest printed list of the merchants and bankers of London",72.1,450,56391
"Narrative of the Voyage of H.M.S. Rattlesnake, Commanded By the Late Captain Owen Stanley, R.N., F.R.S. Etc. During the Years 1846-1850. — Volume 1
Including Discoveries and Surveys in New Guinea, the Louisiade Archipelago, Etc. to Which Is Added the Account of Mr. E.B. Kennedy's Expedition for the Exploration of the Cape York Peninsula. By John Macgillivray, F.R.G.S. Naturalist to the Expedition.",63.7,85,12433
"The Fort Dearborn Massacre
Written in 1814 by Lieutenant Linai T. Helm, One of the Survivors, with Letters and Narratives of Contemporary Interest",68,83,41663
The Solitary Summer,65,84,5991
The Christian Sabbath: Is It of Divine Origin?,53.5,47,38378
The Gambler: A Novel,74.4,74,33490
The motor-bus in war : $b being the impressions of an A.S.C. officer during two and a half years at the front,62.5,63,46283
The Battle of Life: A Love Story,80.6,375,40723
Mavericks,93.6,86,14520
"The 'Look About You' Nature Study Books, Book 2 [of 7]",92.5,92,50236
My further disillusionment in Russia,51.6,107,74192
Illumination and Its Development in the Present Day,69,179,48157
"Aunt 'Liza's Hero, and Other Stories",81.8,55,39593
The Clue,82.5,109,54869
"The Mirror of Literature, Amusement, and Instruction. Volume 12, No. 332, September 20, 1828",64,60,10845
The Conquistadors Come,84.2,60,63982
"Surgical Experiences in South Africa, 1899-1900
Being Mainly a Clinical Study of the Nature and Effects of Injuries Produced by Bullets of Small Calibre",56.8,97,21280
"The Confessions of Nat Turner
The Leader of the Late Insurrections in Southampton, Va. As Fully and Voluntarily Made to Thomas R. Gray, in the Prison Where He Was Confined, and Acknowledged by Him to be Such when Read Before the Court of Southampton; With the Certificate, Under Seal of the Court Convened at Jerusalem, Nov. 5, 1831, For His Trial. Also, an Authentic Account of the Whole Insurrection.",62.6,216,15333
Hints on Wolf and Coyote Trapping,62.7,89,47639
The Bridling of Pegasus: Prose Papers on Poetry,59.4,65,35394
"The Mirror of Literature, Amusement, and Instruction. Volume 17, No. 494, June 18, 1831",63.8,57,13090
My Reminiscences,67.7,494,22217
Stalemate in Space,75.3,50,63862
The History of Emily Montague,57.3,133,16300
"Alila, Our Little Philippine Cousin",80.9,235,43885
"Two Decades
A History of the First Twenty Years' Work of the Woman's Christian Temperance Union of the State of New York",61,74,20811
Hold Back Tomorrow,93.4,65,65229
Scotch Loch-Fishing,69.9,300,26072
A Day in a Colonial Home,81.3,75,57617
"Langley Memoir on Mechanical Flight, Parts I and II
Smithsonian Contributions to Knowledge, Volume 27 Number 3, Publication 1948, 1911",61.1,104,47981
"The Divine Comedy by Dante, Illustrated, Hell, Volume 02",84,90,8780
"The Jargon File, Version 4.2.2, 20 Aug 2000",54.9,632,3008
Battling with waves and lawyers : $b a genuine history of perils of the deep and an authentic record of the most important shipping case ever dealt with in the supreme courts of Australasia,78.1,70,71021
The Century Cook Book,81.5,116,34822
Shores of the Polar Sea: A Narrative of the Arctic Expedition of 1875-6,63.8,59,56424
"Practical House, Wagon and Automobile Painter
including sign painting, and valuable hints and recipes",77,71,67109
Selected Poems (1685-1700),65.8,72,38407
"Blackwood's Edinburgh Magazine, Volume 63, No. 389, March 1848",60.4,61,40071
Shaming the Speed Limit,80.2,82,65914
Sketches,80.1,54,66180
"The Laughing Willow
Verses and Pictures",79.8,60,56357
Jack and Jill and Old Dame Gill,86,50,24465
The Sky Is Falling,83.7,122,18768
"Lippincott's Magazine of Popular Literature and Science, Volume 17, No. 102, June, 1876",65.2,71,14333
"The Culprit Fay, and Other Poems",68.2,73,317
A history of social thought,54.5,271,68889
At the back of the world : $b Wanderings over many lands and seas,71.3,56,71571
The Frogs of Mars,82.3,63,66287
The Violet Fairy Book,84.4,544,641
Sir Walter Ralegh: A Biography,72,116,25029
Boys' Book of Famous Soldiers,70.2,58,19910
"Sree Krishna, the Lord of Love",72.5,92,67019
Two American Boys with the Allied Armies,77.6,59,60660
Quicksands,79.7,57,65195
"A New Voyage Round the World in the Years 1823, 24, 25, and 26. Vol. 1",59.3,104,25693
Ten years after : $b a reminder,64.8,68,72512
"The book of Scottish story : $b historical, humorous, legendary, and imaginative, selected from the works of standard Scottish authors",68.6,85,72064
The Pioneer,85.4,58,66618
The Vicar of Wakefield,62,526,2667
"Baron Bruno; Or, The Unbelieving Philosopher, and Other Fairy Stories",62.5,61,39274
"Anthropology : $b [a lecture delivered at Columbia University in the series on science, philosophy and art, December 18, 1907]",36.7,105,74049
Poems of James McIntyre,78.5,104,36068
"The Orchid Album, Volume 3
Comprising Coloured Figures and Descriptions of New, Rare, and Beautiful Orchidaceous Plants",65.6,83,59411
"Riddle of the Storm
A Mystery Story for Boys",85.5,220,43362
Not Without Thorns,69.7,48,43106
Janet's boys,89.3,48,72020
What the Swallow Sang: A Novel,72.4,61,34599
"The Student's Life of Washington; Condensed from the Larger Work of Washington Irving
For Young Persons and for the Use of Schools",55.7,115,32987
The Moon Endureth: Tales and Fancies,80,134,715
A Book,81,163,60904
Tales and Novels of J. de La Fontaine — Volume 04,67.3,61,5278
Germany's Dishonoured Army: Additional records of German atrocities in France,55.7,62,46293
Hoiman and the Solar Circuit,91.5,58,32213
Pagan Ideas of Immortality During the Early Roman Empire,55.9,74,53829
"The Pilgrim of Castile; or, El Pelegrino in Su Patria",42.8,44,49847
"Ginseng and Other Medicinal Plants
A Book of Valuable Information for Growers as Well as Collectors of Medicinal Roots, Barks, Leaves, Etc.",68.7,141,34570
Floor of Heaven,70.1,86,72070
Miser Farebrother: A Novel (vol. 1 of 3),83,52,39111
"The Bankrupt; Or, Advice to the Insolvent.
A Poem, addressed to a friend, with other pieces",83.7,52,32275
"The Book of Ballads
Eleventh Edition, 1870",84,222,44798
The Mind in the Making: The Relation of Intelligence to Social Reform,45.3,130,8077
Hong Kong,57,551,62191
"Ireland under the Tudors, with a Succinct Account of the Earlier History. Vol. 1 (of 3)",66.7,63,42046
Spain from Within,59.3,46,56379
"The Money Master, Complete",78.3,76,6280
Pennsylvania Dutch: A Dialect of South German With an Infusion of English,73,111,48417
In the Claws of the German Eagle,70.4,73,11414
The Dawn of History: An Introduction to Pre-Historic Study,61.3,70,52030
"Film Truth; September, 1920",71,79,51484
"Traditions of the North American Indians, Vol. 2",69,79,20827
"The Rámáyan of Válmíki, translated into English verse",83.3,4988,24869
Hidden Creek,84.1,67,10978
"Notes and Queries, Index of Volume 4, July-December, 1851
A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",81.9,60,40166
The Natural History of the Gent,61,47,66323
Acres of Diamonds: Our Every-day Opportunities,73.9,821,368
"The Irish Penny Journal, Vol. 1 No. 25, December 19, 1840",54.3,31,54534
"The Trappers of Arkansas; or, The Loyal Heart",68.1,75,43473
Hindu Tales from the Sanskrit,81,265,11310
A Manual or an Easy Method of Managing Bees,68.4,70,27065
"Mesopotamian Archaeology
An introduction to the archaeology of Mesopotamia and Assyria",49.1,236,45229
Creation or Evolution? A Philosophical Inquiry,47.4,63,50086
King Arthur and His Knights,89.3,177,21865
Time Enough at Last,83,912,32633
"A Rip Van Winkle of the Kalahari, and Other Tales of South-West Africa",73.4,89,21899
"St. Winifred's; or, The World of School",73.3,108,24329
"The Irish Penny Journal, Vol. 1 No. 15, October 10, 1840",61.2,42,54252
"Terrestrial and Celestial Globes Volume 2
Their History and Construction Including a Consideration of their Value as Aids in the Study of Geography and Astronomy",51.7,198,39867
Emerson's Wife and Other Western Stories,75.1,86,18309
"The Eugenic Marriage, Volume 1 (of 4)
A Personal Guide to the New Science of Better Living and Better Babies",59.4,88,19594
"Specimens with Memoirs of the Less-known British Poets, Volume 1",69.9,104,9667
"Dress as a Fine Art, with Suggestions on Children's Dress",62.4,108,34092
Old lamps for new,78.6,99,73174
"Acetylene, the Principles of Its Generation and Use
A Practical Handbook on the Production, Purification, and Subsequent Treatment of Acetylene for the Development of Light, Heat, and Power",45.3,339,8144
The voice at Johnnywater,81,91,68488
The Gold Bat,83.6,142,6879
"The Profession of Journalism
A Collection of Articles on Newspaper Editing and Publishing, Taken From the Atlantic Monthly",57.2,103,61982
"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 18, Vol. I, May 3, 1884",64.6,53,65594
The Shakespeare Myth,64.5,51,47425
"Plain Sermons, preached at Archbishop Tenison's Chapel, Regent Street. Second Series",58.5,64,67036
The Shipshape Miracle,85.2,81,61333
By the Way: Travel Letters Written During Several Journeys Abroad,78,54,58416
"Thoughts on the Proposed Inclosure of Waltham (commonly called Epping) and Hainault Forests
In which a new plan is suggested for disafforesting the same: with the heads of the bill now proposed for that purpose",11.6,48,53866
Empire Builders,80.6,119,16630
"History of the War Between Mexico and the United States, with a Preliminary View of its Origin, Volume 1",49.5,81,33568
"Reminiscences of a Private
by Frank M. Mixson, Company ""E"" 1st S. C. Vols. (Hagood's)",78.2,128,41616
"The Demand and the Supply of Increased Efficiency in the Negro Ministry
The American Negro Academy. Occasional Papers No. 13",59.9,65,31323
The Midnight Queen,78,76,2950
The Marquis of Létorière,71.2,44,63852
The Story of a China Cat,92.8,48,19333
Διδαχή των Δώδεκα αποστόλων = Teaching of the Twelve Apostles,85.1,462,42053
Walks near Edinburgh,68.8,66,49548
"Punch, or the London Charivari, Vol. 93, October 29, 1887",69.9,106,37125
"Harper's Young People, January 24, 1882
An Illustrated Weekly",78.8,47,52630
Heath's Modern Language Series: Mariucha,69.9,164,24917
"A Five Years' Residence in Buenos Ayres, During the years 1820 to 1825
Containing Remarks on the Country and Inhabitants; and a Visit to Colonia Del Sacramento",66.8,64,42482
"Frictional Electricity
From ""The Saturday Evening Post.""",80.5,55,23179
"The Three Choirs: A Handbook to the Cathedrals of Gloucester, Hereford, and Worcester
A Complete Description of the Buildings, a History of Each Diocese and Biographical Notices of the Bishops",69.3,57,65390
"Leon Roch: A Romance, vol. 2 (of 2)",78.9,59,49272
"The Irish Penny Journal, Vol. 1 No. 32, February 6, 1841",64,40,54748
"The Writings of Thomas Jefferson, Vol. 6 (of 9)
Being His Autobiography, Correspondence, Reports, Messages, Addresses, and Other Writings, Official and Private",64.1,136,55075
"Sheppard Lee, Written by Himself. Vol. 2 (of 2)",59.6,77,46622
Tales of the Ridings,74.2,99,18173
"U.S. Copyright Renewals, 1965 July - December",82.4,143,11832
Sweden,60.4,152,44624
The Bright Messenger,73.6,84,43594
"The Gospel of Luke, an exposition",72.6,181,26881
"The New Science of Controlled Breathing, Vol. 2 (of 2)
The Secret of Strength, Energy and Beauty—Through Breath Control",61.8,73,61945
The Book of the National Parks,57.5,162,27513
Wide Courses,89.8,92,13836
"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 559, July 28, 1832",60.6,58,11706
Curiosities of Medical Experience,51.5,214,39074
The Bakchesarian Fountain and Other Poems,73.6,148,8192
"Holland, v. 1 (of 2)",59.9,59,27799
Rat Race,85.6,54,68256
The Perfect Tribute,76.2,54,12830
The Phantom Lover,92.4,75,30286
The Light of the Star: A Novel,82,78,28492
A Shepherd's Life: Impressions of the South Wiltshire Downs,65.4,82,7415
The Mother,86.6,56,27550
Evangeline: A Tale of Acadie,69.5,229,2039
David: A Tragedy,88.5,61,48143
"Alice, or the Mysteries — Book 08",75.7,31,9770
A Sovereign Remedy,80.4,72,39813
They Who Knock at Our Gates: A Complete Gospel of Immigration,52.7,631,40535
"Passages from the American Notebooks, Volume 1",64,151,8088
"Chambers's Edinburgh Journal, No. 424
Volume 17, New Series, February 14, 1852",60.5,53,15549
"The International Monthly, Volume 4, No. 4, November 1, 1851",66.3,103,37904
Folk-Lore and Legends: Russian and Polish,86.2,88,49249
"Narrative of a Voyage to Senegal in 1816
Undertaken by Order of the French Government, Comprising an Account of the Shipwreck of the Medusa, the Sufferings of the Crew, and the Various Occurrences on Board the Raft, in the Desert of Zaara, at St. Louis, and at the Camp of Daccard. to Which Are Subjoined Observations Respecting the Agriculture of the Western Coast of Africa, from Cape Blanco to the Mouth of the Gambia.",58.9,212,11772
Major Prophets of To-Day,54.6,100,48180
"Lodore, Vol. 3 (of 3)",65.3,60,64557
History of Spanish and Portuguese Literature (Vol 1 of 2),53.3,194,55829
"Uncle Wiggily's funny auto : $b or, How the Skillery Skallery Alligator was bumped; and Uncle Wiggily and his snow plow; also How the bunny rabbit gentleman watered the garden",86.3,107,70783
The Price of the Prairie: A Story of Kansas,80.7,70,31524
Perpetual Peace: A Philosophical Essay,55,4231,50922
Side-stepping with Shorty,89.7,83,31659
Rung Ho! A Novel,79.3,106,5153
The Jonathan Papers,79.5,68,33997
An Epoch in History,61.6,56,20996
A Preliminary Study of the Emotion of Love between the Sexes,68.2,195,28251
In His Image,86,59,63813
Little Pilgrim at Aunt Lou's,85.9,56,67918
Memoirs of Napoleon Bonaparte — Volume 05,67.2,54,3555
The agricultural and forest products of British West Africa,54,92,70973
"Harper's Young People, August 2, 1881
An Illustrated Weekly",80.5,43,48597
Bo-Peep Story Books,70.7,200,25461
In the year 2889,74.4,408,19362
Oat Meal: The War Winner,63.1,52,56223
Historic Boyhoods,75.5,78,24354
"Nests and Eggs of Familiar British Birds, Second Series
Described and Illustrated; with an Account of the Haunts and Habits of the Feathered Architects, and their Times and Modes of Building",60.5,75,41550
"Punch, Or The London Charivari, Volume 102, January 16, 1892",74.9,60,14217
The Chateau of Prince Polignac,79.6,67,3712
"Baseball Joe in the Central League; or, Making Good as a Professional Pitcher",83.8,627,41847
Victorian Short Stories of Troubled Marriages,79.7,135,15466
Gitanjali,85.8,773,7164
My Friends at Brook Farm,65,706,7302
Moonfleet,73.2,213,10743
"A Discourse on the Life, Character and Writings of Gulian Crommelin Verplanck
Delivered before the New-York Historical Society, May 17th, 1870",60.5,91,10141
"Maurice Tiernay, Soldier of Fortune",63.3,87,32425
The humour of Russia,84.2,83,71756
Talkers: With Illustrations,68.3,57,31143
"With Sam Houston in Texas
A Boy Volunteer in the Texas Struggles for Independence, When in the Years 1835-1836 the Texas Colonists Threw Off the Unjust Rule of Mexico, and by Heroic Deeds Established, Under the Guidance of the Bluff Sam Houston, Their Own Free Republic Which To-day is the Great Lone Star State",73.6,69,62898
Dominie Dean: A Novel,80.4,77,44220
The Call of the Cumberlands,80.6,54,7776
"The Irish Penny Journal, Vol. 1 No. 21, November 21, 1840",54.7,52,54396
Deny the Slake,85.2,61,68410
The Eureka Stockade,67.6,78,3546
Studies in Mediæval Life and Literature,62.9,58,37865
"Indian Biography; Vol. 2 (of 2)
Or, An Historical Account of Those Individuals Who Have Been Distinguished among the North American Natives as Orators, Warriors, Statesmen, and Other Remarkable Characters",63.5,79,54072
The Principles of Aesthetics,53.3,73,6366
"The Journal of Speculative Philosophy, Vol. I, Nos. 1-4, 1867",54.5,76,65097
"Hours in a Library, Volume 3
New Edition, with Additions",54.1,74,58625
Dream Life and Real Life: A Little African Story,91,130,1458
Bismarck: some secret pages of his history (Vol. 3 of 3). Being a diary kept by Dr. Moritz Busch during twenty-five years' official and private intercourse with the great Chancellor,68.3,84,73568
"Letters to His Son, 1750
On the Fine Art of Becoming a Man of the World and a Gentleman",60.4,56,3354
Home Life in Tokyo,59.4,99,65870
"Sane Sex Life and Sane Sex Living
Some Things That All Sane People Ought to Know About Sex Nature and Sex Functioning; Its Place in the Economy of Life, Its Proper Training and Righteous Exercise",62,173,13161
The survivors,75.2,56,73288
Bi-sexual love; the homosexual neurosis,60.9,113,66693
"The Seven Great Monarchies Of The Ancient Eastern World, Vol 5: Persia
The History, Geography, And Antiquities Of Chaldaea, Assyria, Babylon, Media, Persia, Parthia, And Sassanian or New Persian Empire; With Maps and Illustrations.",50.4,178,16165
An Essay on the Trial by Jury,48.6,92,32984
"A West Point Treasure; Or, Mark Mallory's Strange Find",81.8,62,64609
A Great Success,74.7,56,13288
"Scenes in the West; or, The Sunday-School and Temperance",69.4,46,57670
"Go to sleep, my darling",74.6,102,72069
"Philip Augustus; or, The Brothers in Arms",71.8,48,50462
"Old Virginia and Her Neighbours, Vol. 1 (of 2)",63.2,81,56003
Barrier beaches of the Atlantic coast,59.6,60,68564
Billy Bunny and Uncle Bull Frog,85.7,47,5947
The Jew,74.4,96,37621
Letters from My Windmill,80,180,30442
Negro workaday songs,78.8,94,69378
Riders to the Sea,90.1,4780,994
"The Sacred Formulas of the Cherokees
Seventh Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1885-1886, Government Printing Office, Washington, 1891, pages 301-398",59.3,497,24788
Winter Sports in Switzerland,60.4,85,60153
An introduction to the study of fishes,52.2,67,72060
"Composition
$b A series of exercises in art structure for the use of students and teachers",61.3,399,45410
Bee-keeping for profit,61.8,86,67717
The Yosemite,55.8,172,7091
"The 125th Regiment, Illinois Volunteer Infantry: Attention Batallion!",79.3,93,52399
"Friends in Feathers and Fur, and Other Neighbors: For Young Folks",88.8,90,28077
Mutiny in the Void,81.9,48,62350
"Queen Maria Sophia of Naples, a Forgotten Heroine",60.5,93,65606
"Chambers's Edinburgh Journal, No. 447
Volume 18, New Series, July 24, 1852",61,148,21126
"The World Turned Upside Down
Or, No News, and Strange News",85.4,149,10965
The House by the Medlar-Tree,80.5,194,54684
Halil the Pedlar: A Tale of Old Stambul,77.2,117,17597
The Automobilist Abroad,62.4,124,26030
"Kensington, Notting Hill, and Paddington
With Remembrances of the Locality 38 Years Ago",78.5,67,43203
Music as a human need: A plea for free national instruction in music,48.8,50,69337
"Soldiers and Sailors
or, Anecdotes, Details, and Recollections of Naval and Military Life, as Related to His Nephews, by an Old Officer.",69.1,81,57903
Nobody's fault,84.4,57,71360
With Steyn and De Wet,79.5,113,15224
"The Viking Age. Volume 1 (of 2)
The early history, manners, and customs of the ancestors of the English-speaking nations",75.6,146,56167
"Notes and Queries, Vol. V, Number 124, March 13, 1852
A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",72,57,40843
"Wilson's Tales of the Borders and of Scotland, Volume 23",70.8,82,11032
The Upward Path: A Reader For Colored Children,76.8,182,31456
Rachel Dyer : $b A North American story,74.2,73,71766
"A Lear of the Steppes, etc.",80.9,112,52642
Fanny Lambert: A Novel,80.4,60,55454
Why is the Negro Lynched?,66.1,141,59116
"A Compilation of the Messages and Papers of the Presidents. Volume 4, part 2: John Tyler",46.9,82,12464
"Violins and Violin Makers
Biographical Dictionary of the Great Italian Artistes, their Followers and Imitators, to the present time. With Essays on Important Subjects Connected with the Violin.",62.6,97,37309
The Bright Shawl,67.9,71,31898
"History of Sculpture, Painting, and Architecture",40.5,58,58981
At Good Old Siwash,79.1,94,25163
Aircraft : $b its development in war and peace and its commercial future,58.4,160,74358
Rhymes Old and New : collected by M.E.S. Wright,85.9,132,30426
"Memoir of Old Elizabeth, A Coloured Woman",70.9,87,17826
"Pietro Vannucci, called Perugino",68.7,82,36521
Old Jack,75.1,59,23049
The Boy Slaves,75.2,76,24503
The Great War Syndicate,59.3,96,427
Harold : the Last of the Saxon Kings — Volume 12,73,58,7683
The Ballad of the White Horse,73.8,2261,1719
The Stag Cook Book: Written for Men by Men,79.2,92,48695
"Stand Pat; Or, Poker Stories from the Mississippi",76,58,51760
Hugh Miller,50.6,148,44530
"How to know the wild flowers : $b a guide to the names, haunts, and habits of our common wild flowers",64.3,98,72056
The Constable De Bourbon,71.8,87,49681
The Discovery of Witches,53.5,605,14015
The Spirit of Christmas,71.4,152,14572
Colour vision : $b Being the Tyndall Lectures delivered in 1894 at the Royal Institution,61.2,83,73410
Hare and Tortoise,71.4,74,65556
"The American Type of Isthmian Canal
Speech by Hon. John Fairfield Dryden in the Senate of the United States, June 14, 1906",47.4,86,24901
"The Unpopular Review, Vol. 2, No. 4, October-December 1914, including Vol. 2 Index",55.4,62,51679
The House of Whispers,72.5,106,10718
"The Cruise of the ""Janet Nichol"" Among the South Sea Islands: A Diary",75.4,71,52528
"Historical Record of the Fourth, or the King's Own, Regiment of Foot
Containing an Account of the Formation of the Regiment in 1680, and of Its Subsequent Services to 1839",47.2,68,55391
Overlooked,83.5,64,42703
"Travels of Lady Hester Stanhope, Volume 3 (of 3)",61.4,66,72329
The Art of War,56.4,995,13549
The Three Brides,79.2,80,12485
Two in Arcadia,92.7,24,67509
A History of Sculpture,60,118,65276
"Trial of the Major War Criminals Before the International Military Tribunal, Nuremburg, 14 November 1945-1 October 1946, Volume 02",55.9,66,51882
"A classical dictionary
containing a copious account of all the proper names mentioned in ancient authors with tables of coins, weights, and measures used among the Greeks and Romans and a chronological table",71.8,205,68769
The Evening Hours,79.4,71,45467
Our Wonderful Selves,83.2,62,69114
The psycho-analytic study of the family,39.8,61,58654
"Jack Heaton, wireless operator",68.9,72,72796
King John,89.6,344,1511
Lady Molly of Scotland Yard,68.5,488,72581
Expositor's Bible: The Gospel of Matthew,68.9,131,40811
Votes for Women: A Play in Three Acts,86.4,311,43502
"A Soldier of the Legion
An Englishman's Adventures Under the French Flag in Algeria and Tonquin",59.3,90,53902
"Encyclopaedia Britannica, 11th Edition, ""Malta"" to ""Map, Walter""
Volume 17, Slice 5",57.3,112,42736
"The American Missionary — Volume 52, No. 01, March, 1898",80.8,69,25782
"The works of Francis Maitland Balfour, Volume 3 (of 4) : $b A treatise on comparative embryology: Vertebrata",61.6,91,45019
"Lectures of Col. R. G. Ingersoll, Volume I
Including His Answers to the Clergy, His Oration at His Brother's Grave, Etc., Etc.",77.1,81,8140
"Cornish Worthies: Sketches of Some Eminent Cornish Men and Families, Volume 1 (of 2)",60.6,119,46529
Modern Mythology,70.4,162,14576
"The Lay-Man's Sermon upon the Late Storm
Held forth at an Honest Coffee-House-Conventicle",54.2,102,36694
How Canada Was Won: A Tale of Wolfe and Quebec,77.9,80,43364
A Thane of Wessex: Being a Story of the Great Viking Raids into Somerset,80.7,71,13054
"Poker Jim, Gentleman, and Other Tales and Sketches",68,47,59050
Sea Plunder,87.9,74,53179
"A Compilation of the Messages and Papers of the Presidents. Volume 8, part 3: Grover Cleveland, First Term",40.4,64,15863
The Rosery Folk,80.4,43,34482
Theodore Roosevelt: An Autobiography,51.5,719,3335
Dagonet Ditties,83.2,59,58246
The World English Bible (WEB): Titus,53.6,42,8283
Game preserve,82.8,66,60393
The Fourth Invasion,74.5,70,23099
Armenia and the War,50.9,49,53887
